Product Name,Original Data Column 1 (Breadcrumb),Original Data Column 2 (Ausführung),Supplier Article Number,EAN/GTIN,Article Number,Product Description,Supplier,Supplier-URL,Product Image URL,Manufacturer,Original Data Column 3 (Add. Description)
CLEAN and CLEVER SMART Müllbeutel SMA 73,entsorgung/müllbeutel/-abfallsäcke/müllbeutel-bis-70-l/müllbeutel-bis-70-l,460 mm x 520 mm 18 l,2133937,4024009030345,56909,"aus reißfestem Polyethylen (HDPE), mit Sternnaht,
perforiert, Einsatz in Gebäudereinigung, Gesundheitswesen,
Hotellerie und Gastronomie sowie Industrie und Verwaltung,
Breite 460 mm, Farbe weiß, Länge 520 mm, Material HDPE,
Volumen 18 l, 1 Rolle à 50 Stk, (Krt à 40 Rll).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-muellbeutel-sma-73-460-mm-x-520-mm-18-l/AHgJ4WmdVM7tj6K7eknSSo,https://media.igefa.de/files/images_idealclean/2133937.jpg,CLEAN and CLEVER SMART,
CLEAN and CLEVER PROFESSIONAL Einmalschutzhandschuhe PRO 167,persönliche-schutzausrüstung-psa/handschutz/einweghandschuh/einweghandschuh-aus-nitril,Gr.L,2134079,4024009028373,3000006988,"Dieser Einmalschutzhandschuh kann durch seine sehr hohe Tastsensibilität und schwarze Farbe sowohl in der Gastronomie, in lebensmittelverkaufenden Branchen als auch in der Automobilindustrie eingesetzt werden. Durch den zuverlässigen Schutz vor
verdünnten chemischen Flüssigkeiten bietet er sich z. B. auch für den Friseur an.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-einmalschutzhandschuhe-pro-167-gr-l/g2stp9aNyMcpaBAkcXYBWG,https://media.igefa.de/files/images_idealclean/2134079.jpg,CLEAN and CLEVER PROFESSIONAL,"öl- & fettbeständig, erhöhte Reißfestigkeit, hervorragende Passform, sehr hohe Tastsensibilität, latexfrei – empfohlen bei Latex-Allergien, gute Griffigkeit durch angerauhte Fingerkuppen"
CLEAN and CLEVER PROFESSIONAL Einmalschutzhandschuhe PRO 167,persönliche-schutzausrüstung-psa/handschutz/einweghandschuh/einweghandschuh-aus-nitril,Gr.M,2134078,4024009028359,3000006987,"Dieser Einmalschutzhandschuh kann durch seine sehr hohe Tastsensibilität und schwarze Farbe sowohl in der Gastronomie, in lebensmittelverkaufenden Branchen als auch in der Automobilindustrie eingesetzt werden. Durch den zuverlässigen Schutz vor
verdünnten chemischen Flüssigkeiten bietet er sich z. B. auch für den Friseur an.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-einmalschutzhandschuhe-pro-167-gr-m/bBeV3XKc6ABRgSgdfAHmp5,https://media.igefa.de/files/images_idealclean/2134078.jpg,CLEAN and CLEVER PROFESSIONAL,"öl- & fettbeständig, erhöhte Reißfestigkeit, hervorragende Passform, sehr hohe Tastsensibilität, latexfrei – empfohlen bei Latex-Allergien, gute Griffigkeit durch angerauhte Fingerkuppen"
"Kolibri PREMIUM Untersuchungshandschuhe, blau",persönliche-schutzausrüstung-psa/handschutz/untersuchungshandschuh-und-fingerling/untersuchungshandschuh-unsteril-nitril-puderfrei,Gr.S,2134086,4024009031885,3000007027,"Kolibri Premium Nitril Untersuchungshandschuhe und Einmalschutzhandschuhe aus
Nitrilbutadienkautschuk (NBR).
Die Premium Untersuchungshandschuhe sind als Spritzschutz gegen Chemikalien, Reinigungsmittel und Flüssigkeiten beständig.
Die Kolibri Nitril-Handschuhe besitzen eine hervorragende Tastsensibilität und hohen Tragekomfort.
Sie sind beidseitig verwendbar und besitzen eine anschmiegsame Passform.
Produktvorteile im Überblick:

Desinfektions- und Zytostatika-beständig sowie öl- und fettbeständig
gute Griffigkeit durch angeraute Fingerkuppen
latexfrei, puderfrei, thiuramfrei,
unsteril
Produkteigenschaften:
Medizinprodukt gemäß Richtlinie 93/42/EWG (CE Klasse I), auch geprüft nach ASTM D 6319
Einmalschutzhandschuhe zur persönlichen Schutzausrüstung gemäß PSA-Verordnung (EU)2016/425 (CE Kategorie III)
Lebensmittelunbedenklich gemäß VO (EU) Nr. 1935/2004
Virenschutzprüfung gemäß ASTM F 1671
Farbe blau
Größe S
Länge 24 cm",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-blau-gr-s/upUnUaMvnoog2SVFyc3DCB,https://media.igefa.de/files/images_idealclean/2134086.jpg,Kolibri,
CLEAN and CLEVER PROFESSIONAL Einmalschutzhandschuhe PRO 167,persönliche-schutzausrüstung-psa/handschutz/einweghandschuh/einweghandschuh-aus-nitril,Gr.S,2134077,4024009028335,3000006986,"Dieser Einmalschutzhandschuh kann durch seine sehr hohe Tastsensibilität und schwarze Farbe sowohl in der Gastronomie, in lebensmittelverkaufenden Branchen als auch in der Automobilindustrie eingesetzt werden. Durch den zuverlässigen Schutz vor
verdünnten chemischen Flüssigkeiten bietet er sich z. B. auch für den Friseur an.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-einmalschutzhandschuhe-pro-167-gr-s/FWD83MP5CF76fiSNx24d2i,https://media.igefa.de/files/images_idealclean/2134077.jpg,CLEAN and CLEVER PROFESSIONAL,"öl- & fettbeständig, erhöhte Reißfestigkeit, hervorragende Passform, sehr hohe Tastsensibilität, latexfrei – empfohlen bei Latex-Allergien, gute Griffigkeit durch angerauhte Fingerkuppen"
CLEAN and CLEVER SMART Müllbeutel SMA 72,entsorgung/müllbeutel/-abfallsäcke/müllbeutel-bis-70-l/müllbeutel-bis-70-l,600 mm x 720 mm 60 l,2133936,4024009030321,59917,"aus reißfestem Polyethylen (HDPE), mit Sternnaht,
perforiert, Einsatz in Gebäudereinigung, Gesundheitswesen,
Hotellerie und Gastronomie sowie Industrie und Verwaltung,
Breite 600 mm, Farbe transparent, Länge 720 mm, Material
HDPE, Volumen 60 l, 1 Rolle à 50 Stk, (Krt à 40 Rll).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-muellbeutel-sma-72-600-mm-x-720-mm-60-l/6jHwqPtWFHxJLa3T6pf2BR,https://media.igefa.de/files/images_idealclean/2133936.jpg,CLEAN and CLEVER SMART,
"Kolibri PREMIUM Untersuchungshandschuhe, blau",persönliche-schutzausrüstung-psa/handschutz/untersuchungshandschuh-und-fingerling/untersuchungshandschuh-unsteril-nitril-puderfrei,Gr.M,2134087,4024009031892,3000007028,"Kolibri Premium Nitril Untersuchungshandschuhe und Einmalschutzhandschuhe aus
Nitrilbutadienkautschuk (NBR).
Die Premium Untersuchungshandschuhe sind als Spritzschutz gegen Chemikalien, Reinigungsmittel und Flüssigkeiten beständig.
Die Kolibri Nitril-Handschuhe besitzen eine hervorragende Tastsensibilität und hohen Tragekomfort.
Sie sind beidseitig verwendbar und besitzen eine anschmiegsame Passform.
Produktvorteile im Überblick:

Desinfektions- und Zytostatika-beständig sowie öl- und fettbeständig
gute Griffigkeit durch angeraute Fingerkuppen
latexfrei, puderfrei, thiuramfrei,
unsteril
Produkteigenschaften:
Medizinprodukt gemäß Richtlinie 93/42/EWG (CE Klasse I), auch geprüft nach ASTM D 6319
Einmalschutzhandschuhe zur persönlichen Schutzausrüstung gemäß PSA-Verordnung (EU)2016/425 (CE Kategorie III)
Lebensmittelunbedenklich gemäß VO (EU) Nr. 1935/2004
Virenschutzprüfung gemäß ASTM F 1671
Farbe blau
Größe M
Länge 24 cm",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-blau-gr-m/fAPh3hWyK4wXmXqwjH9HS3,https://media.igefa.de/files/images_idealclean/2134087.jpg,Kolibri,
CLEAN and CLEVER SMART Müllbeutel SMA 74,entsorgung/müllbeutel/-abfallsäcke/müllbeutel-bis-70-l/müllbeutel-bis-70-l,600 mm x 720 mm 60 l,2133933,4024009030260,54917,"aus reißfestem Polyethylen (HDPE), mit Sternnaht,
perforiert, Einsatz in Gebäudereinigung, Gesundheitswesen,
Hotellerie und Gastronomie sowie Industrie und Verwaltung,
Breite 600 mm, Farbe grau, Länge 720 mm, Material HDPE,
Volumen 60 l, 1 Rolle à 50 Stk, (Krt à 40 Rll).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-muellbeutel-sma-74-600-mm-x-720-mm-60-l/xBMtxgyXr6Zt9vZfk5iF5L,https://media.igefa.de/files/images_idealclean/2133933.jpg,CLEAN and CLEVER SMART,
"Kolibri PREMIUM Untersuchungshandschuhe, blau",persönliche-schutzausrüstung-psa/handschutz/untersuchungshandschuh-und-fingerling/untersuchungshandschuh-unsteril-nitril-puderfrei,Gr.XL,2134089,4024009031915,3000007030,"Kolibri Premium Nitril Untersuchungshandschuhe und Einmalschutzhandschuhe aus
Nitrilbutadienkautschuk (NBR).
Die Premium Untersuchungshandschuhe sind als Spritzschutz gegen Chemikalien, Reinigungsmittel und Flüssigkeiten beständig.
Die Kolibri Nitril-Handschuhe besitzen eine hervorragende Tastsensibilität und hohen Tragekomfort.
Sie sind beidseitig verwendbar und besitzen eine anschmiegsame Passform.
Produktvorteile im Überblick:

Desinfektions- und Zytostatika-beständig sowie öl- und fettbeständig
gute Griffigkeit durch angeraute Fingerkuppen
latexfrei, puderfrei, thiuramfrei,
unsteril
Produkteigenschaften:
Medizinprodukt gemäß Richtlinie 93/42/EWG (CE Klasse I), auch geprüft nach ASTM D 6319
Einmalschutzhandschuhe zur persönlichen Schutzausrüstung gemäß PSA-Verordnung (EU)2016/425 (CE Kategorie III)
Lebensmittelunbedenklich gemäß VO (EU) Nr. 1935/2004
Virenschutzprüfung gemäß ASTM F 1671
Farbe blau
Größe XL
Länge 24 cm",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-blau-gr-xl/Ybpp9znUGF7GMAQR8YKQ8W,https://media.igefa.de/files/images_idealclean/2134089.jpg,Kolibri,
CLEAN and CLEVER SMART Müllbeutel SMA 74,entsorgung/müllbeutel/-abfallsäcke/müllbeutel-bis-70-l/müllbeutel-bis-70-l,500 mm x 600 mm 30 l,2133932,4024009030246,54916,"aus reißfestem Polyethylen (HDPE), mit Sternnaht,
perforiert, Einsatz in Gebäudereinigung, Gesundheitswesen,
Hotellerie und Gastronomie sowie Industrie und Verwaltung,
Breite 500 mm, Farbe grau, Länge 600 mm, Material HDPE,
Volumen 30 l, 1 Rolle à 50 Stk, (Krt à 40 Rll).",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-smartline-muellbeutel-sma-74-500-mm-x-600-mm-30-l/kaZkJWyizg65Xtw84gxWqh,https://media.igefa.de/files/images_idealclean/2133932.jpg,CLEAN and CLEVER SMART,
"Kolibri PREMIUM Untersuchungshandschuhe, blau",persönliche-schutzausrüstung-psa/handschutz/untersuchungshandschuh-und-fingerling/untersuchungshandschuh-unsteril-nitril-puderfrei,Gr.L,2134088,4024009031908,3000007029,"Kolibri Premium Nitril Untersuchungshandschuhe und Einmalschutzhandschuhe aus
Nitrilbutadienkautschuk (NBR).
Die Premium Untersuchungshandschuhe sind als Spritzschutz gegen Chemikalien, Reinigungsmittel und Flüssigkeiten beständig.
Die Kolibri Nitril-Handschuhe besitzen eine hervorragende Tastsensibilität und hohen Tragekomfort.
Sie sind beidseitig verwendbar und besitzen eine anschmiegsame Passform.
Produktvorteile im Überblick:

Desinfektions- und Zytostatika-beständig sowie öl- und fettbeständig
gute Griffigkeit durch angeraute Fingerkuppen
latexfrei, puderfrei, thiuramfrei,
unsteril
Produkteigenschaften:
Medizinprodukt gemäß Richtlinie 93/42/EWG (CE Klasse I), auch geprüft nach ASTM D 6319
Einmalschutzhandschuhe zur persönlichen Schutzausrüstung gemäß PSA-Verordnung (EU)2016/425 (CE Kategorie III)
Lebensmittelunbedenklich gemäß VO (EU) Nr. 1935/2004
Virenschutzprüfung gemäß ASTM F 1671
Farbe blau
Größe L
Länge 24 cm",igefa Handelsgesellschaft,https://store.igefa.de/p/kolibri-premium-untersuchungshandschuhe-blau-gr-l/RQbQS3bVtnXFTbMMKLRtGN,https://media.igefa.de/files/images_idealclean/2134088.jpg,Kolibri,
CLEAN and CLEVER PROFESSIONAL Einmalschutzhandschuhe PRO 167,persönliche-schutzausrüstung-psa/handschutz/einweghandschuh/einweghandschuh-aus-nitril,Gr.XL,2134080,4024009028397,3000006989,"Dieser Einmalschutzhandschuh kann durch seine sehr hohe Tastsensibilität und schwarze Farbe sowohl in der Gastronomie, in lebensmittelverkaufenden Branchen als auch in der Automobilindustrie eingesetzt werden. Durch den zuverlässigen Schutz vor
verdünnten chemischen Flüssigkeiten bietet er sich z. B. auch für den Friseur an.",igefa Handelsgesellschaft,https://store.igefa.de/p/clean-and-clever-pro-einmalschutzhandschuhe-pro-167-gr-xl/wkJJ9SDEWPinJkm3LEYAo4,https://media.igefa.de/files/images_idealclean/2134080.jpg,CLEAN and CLEVER PROFESSIONAL,"öl- & fettbeständig, erhöhte Reißfestigkeit, hervorragende Passform, sehr hohe Tastsensibilität, latexfrei – empfohlen bei Latex-Allergien, gute Griffigkeit durch angerauhte Fingerkuppen"
